#layer	date	x	y	size	intensity   comment	R	G	B
SB_HCR	2020-10-03	-176.625	66.375	2.25	9.78E-01	255	0	0
SB_HCR	2020-10-03	46.125	66.375	2.25	3.66E-01	255	0	0
SB_HCR	2020-10-03	52.875	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	61.875	66.375	2.25	5.56E-01	255	0	0
SB_HCR	2020-10-03	64.125	66.375	2.25	9.58E-01	255	0	0
SB_HCR	2020-10-03	68.625	66.375	2.25	9.99E-01	255	0	0
SB_HCR	2020-10-03	73.125	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	75.375	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	77.625	66.375	2.25	2.78E-01	255	0	0
SB_HCR	2020-10-03	79.875	66.375	2.25	1.06E-01	255	0	0
SB_HCR	2020-10-03	111.375	66.375	2.25	9.94E-01	255	0	0
SB_HCR	2020-10-03	133.875	66.375	2.25	1.50E-01	255	0	0
SB_HCR	2020-10-03	-147.375	66.375	2.25	1.92E-01	255	0	0
SB_HCR	2020-10-03	138.375	66.375	2.25	2.26E-01	255	0	0
SB_HCR	2020-10-03	140.625	66.375	2.25	9.16E-01	255	0	0
SB_HCR	2020-10-03	142.875	66.375	2.25	3.30E-01	255	0	0
SB_HCR	2020-10-03	147.375	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	149.625	66.375	2.25	9.97E-01	255	0	0
SB_HCR	2020-10-03	-145.125	66.375	2.25	8.66E-01	255	0	0
SB_HCR	2020-10-03	160.875	66.375	2.25	9.93E-01	255	0	0
SB_HCR	2020-10-03	163.125	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-140.625	66.375	2.25	9.99E-01	255	0	0
SB_HCR	2020-10-03	-138.375	66.375	2.25	9.99E-01	255	0	0
SB_HCR	2020-10-03	-174.375	66.375	2.25	1.62E-01	255	0	0
SB_HCR	2020-10-03	-129.375	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-122.625	66.375	2.25	9.10E-01	255	0	0
SB_HCR	2020-10-03	-102.375	66.375	2.25	9.98E-01	255	0	0
SB_HCR	2020-10-03	-100.125	66.375	2.25	9.94E-01	255	0	0
SB_HCR	2020-10-03	-97.875	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-93.375	66.375	2.25	7.32E-01	255	0	0
SB_HCR	2020-10-03	-91.125	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-169.875	66.375	2.25	7.96E-01	255	0	0
SB_HCR	2020-10-03	-88.875	66.375	2.25	8.07E-01	255	0	0
SB_HCR	2020-10-03	-77.625	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-64.125	66.375	2.25	5.02E-01	255	0	0
SB_HCR	2020-10-03	-61.875	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-52.875	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-34.875	66.375	2.25	3.22E-01	255	0	0
SB_HCR	2020-10-03	-30.375	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-28.125	66.375	2.25	9.53E-01	255	0	0
SB_HCR	2020-10-03	-25.875	66.375	2.25	6.32E-01	255	0	0
SB_HCR	2020-10-03	-21.375	66.375	2.25	8.48E-01	255	0	0
SB_HCR	2020-10-03	-7.875	66.375	2.25	1.07E-01	255	0	0
SB_HCR	2020-10-03	-5.625	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-1.125	66.375	2.25	9.90E-01	255	0	0
SB_HCR	2020-10-03	16.875	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	19.125	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-158.625	66.375	2.25	1.36E-01	255	0	0
SB_HCR	2020-10-03	28.125	66.375	2.25	9.99E-01	255	0	0
SB_HCR	2020-10-03	41.625	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	43.875	66.375	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	-176.625	64.125	2.25	9.86E-01	255	0	0
SB_HCR	2020-10-03	46.125	64.125	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	48.375	64.125	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	50.625	64.125	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	52.875	64.125	2.25	9.75E-01	255	0	0
SB_HCR	2020-10-03	57.375	64.125	2.25	9.79E-01	255	0	0
SB_HCR	2020-10-03	59.625	64.125	2.25	1.00E+00	255	0	0
SB_HCR	2020-10-03	66.375	64.125	2.25	9.99E-01	255	0	0
SB_HCR	2020-10-03	-154.125	64.125	2.25	7.31E-01	255	0	0
SB_HCR	2020-10-03	73.125	64.125	2.25	7.02E-01	255	0	0
SB_HCR	2020-10-03	93.375	64.125	2.25	4.17E-01	255	0	0
SB_HCR	2020-10-03	95.625	64.125	2.25	1.00E+00	255	0	0
